    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0-2 , Train Loss: 0.0022, Train Accuracy: 95.70, Validation Loss: 0.0520, Validation Accuracy: 97.65%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0058, Train Accuracy: 95.24, Validation Loss: 0.0511, Validation Accuracy: 97.86%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0113, Train Accuracy: 94.36, Validation Loss: 0.0690, Validation Accuracy: 96.71%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0250, Train Accuracy: 93.16, Validation Loss: 0.0952, Validation Accuracy: 95.30%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0558, Train Accuracy: 91.86, Validation Loss: 0.1071, Validation Accuracy: 94.82%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.2527, Train Accuracy: 88.37, Validation Loss: 0.1484, Validation Accuracy: 92.62%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.3258, Train Accuracy: 84.43, Validation Loss: 0.2881, Validation Accuracy: 83.54%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0-2 , Train Loss: 0.0025, Train Accuracy: 95.70, Validation Loss: 0.0617, Validation Accuracy: 97.91%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.3-2 , Train Loss: 0.0072, Train Accuracy: 94.78, Validation Loss: 0.0978, Validation Accuracy: 97.05%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.5-2 , Train Loss: 0.0158, Train Accuracy: 94.05, Validation Loss: 0.1402, Validation Accuracy: 95.48%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.7-2 , Train Loss: 0.0392, Train Accuracy: 92.46, Validation Loss: 0.1142, Validation Accuracy: 96.52%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.8-2 , Train Loss: 0.0714, Train Accuracy: 91.32, Validation Loss: 0.1378, Validation Accuracy: 95.49%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.9-2 , Train Loss: 0.3303, Train Accuracy: 88.39, Validation Loss: 0.2203, Validation Accuracy: 93.33%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.95-2 , Train Loss: 0.4205, Train Accuracy: 84.03, Validation Loss: 0.3635, Validation Accuracy: 88.91%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0-2 , Train Loss: 0.0023, Train Accuracy: 95.72, Validation Loss: 0.0555, Validation Accuracy: 97.52%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.3-2 , Train Loss: 0.0052, Train Accuracy: 95.03, Validation Loss: 0.0743, Validation Accuracy: 96.42%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.5-2 , Train Loss: 0.0105, Train Accuracy: 94.56, Validation Loss: 0.0743, Validation Accuracy: 96.51%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.7-2 , Train Loss: 0.0270, Train Accuracy: 93.05, Validation Loss: 0.0901, Validation Accuracy: 95.60%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.8-2 , Train Loss: 0.0506, Train Accuracy: 91.66, Validation Loss: 0.0810, Validation Accuracy: 96.80%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.9-2 , Train Loss: 0.2449, Train Accuracy: 89.07, Validation Loss: 0.1318, Validation Accuracy: 93.92%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.95-2 , Train Loss: 0.3405, Train Accuracy: 84.67, Validation Loss: 0.2645, Validation Accuracy: 85.18%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0-2 , Train Loss: 0.0034, Train Accuracy: 95.62, Validation Loss: 0.1008, Validation Accuracy: 96.77%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.3-2 , Train Loss: 0.0079, Train Accuracy: 94.73, Validation Loss: 0.1650, Validation Accuracy: 94.69%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.5-2 , Train Loss: 0.0145, Train Accuracy: 93.94, Validation Loss: 0.1493, Validation Accuracy: 95.35%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.7-2 , Train Loss: 0.0440, Train Accuracy: 92.59, Validation Loss: 0.1483, Validation Accuracy: 95.69%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.8-2 , Train Loss: 0.0879, Train Accuracy: 90.81, Validation Loss: 0.5209, Validation Accuracy: 84.60%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.9-2 , Train Loss: 0.3426, Train Accuracy: 87.73, Validation Loss: 0.2233, Validation Accuracy: 92.95%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.95-2 , Train Loss: 0.4569, Train Accuracy: 82.13, Validation Loss: 0.4863, Validation Accuracy: 84.92%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0-2 , Train Loss: 0.0022, Train Accuracy: 95.87, Validation Loss: 0.0518, Validation Accuracy: 97.78%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.3-2 , Train Loss: 0.0054, Train Accuracy: 95.01, Validation Loss: 0.0769, Validation Accuracy: 96.40%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.5-2 , Train Loss: 0.0095, Train Accuracy: 94.58, Validation Loss: 0.0621, Validation Accuracy: 97.34%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.7-2 , Train Loss: 0.0275, Train Accuracy: 93.29, Validation Loss: 0.0974, Validation Accuracy: 95.25%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.8-2 , Train Loss: 0.0509, Train Accuracy: 91.93, Validation Loss: 0.1040, Validation Accuracy: 95.18%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.9-2 , Train Loss: 0.2486, Train Accuracy: 88.81, Validation Loss: 0.1469, Validation Accuracy: 92.74%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.95-2 , Train Loss: 0.3321, Train Accuracy: 84.83, Validation Loss: 0.2453, Validation Accuracy: 86.39%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0-2 , Train Loss: 0.0028, Train Accuracy: 95.45, Validation Loss: 0.0635, Validation Accuracy: 98.05%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.3-2 , Train Loss: 0.0068, Train Accuracy: 95.02, Validation Loss: 0.0676, Validation Accuracy: 97.93%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.5-2 , Train Loss: 0.0150, Train Accuracy: 93.78, Validation Loss: 0.0930, Validation Accuracy: 97.10%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.7-2 , Train Loss: 0.0408, Train Accuracy: 92.63, Validation Loss: 0.1447, Validation Accuracy: 95.31%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.8-2 , Train Loss: 0.0812, Train Accuracy: 90.34, Validation Loss: 0.2999, Validation Accuracy: 90.41%
