MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9- , Train Loss: 0.2472, Train Accuracy: 88.76, Validation Loss: 0.1448, Validation Accuracy: 93.41%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95- , Train Loss: 0.3378, Train Accuracy: 84.00, Validation Loss: 0.3064, Validation Accuracy: 81.56%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0- , Train Loss: 0.0021, Train Accuracy: 95.65, Validation Loss: 0.0603, Validation Accuracy: 97.13%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.3- , Train Loss: 0.0066, Train Accuracy: 94.18, Validation Loss: 0.0507, Validation Accuracy: 97.95%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.5- , Train Loss: 0.0134, Train Accuracy: 91.69, Validation Loss: 0.0633, Validation Accuracy: 97.24%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.7- , Train Loss: 0.0451, Train Accuracy: 86.43, Validation Loss: 0.0646, Validation Accuracy: 97.22%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.8- , Train Loss: 0.1082, Train Accuracy: 80.20, Validation Loss: 0.0960, Validation Accuracy: 95.71%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.9- , Train Loss: 0.4981, Train Accuracy: 68.06, Validation Loss: 0.1588, Validation Accuracy: 92.86%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_label-0.95- , Train Loss: 0.6718, Train Accuracy: 51.13, Validation Loss: 0.4327, Validation Accuracy: 70.90%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0- , Train Loss: 0.0024, Train Accuracy: 95.61, Validation Loss: 0.0576, Validation Accuracy: 97.81%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.3- , Train Loss: 0.0062, Train Accuracy: 94.16, Validation Loss: 0.0526, Validation Accuracy: 97.87%
MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-top-0.5- , Train Loss: 0.0135, Train Accuracy: 91.35, Validation Loss: 0.0598, Validation Accuracy: 97.40%
