MODEL:resnet18-CIFAR10-EVIDENCE-top-0.5-3 , Train Loss: 0.0344, Train Accuracy: 95.46, Validation Loss: 1.6880, Validation Accuracy: 64.03%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.7-3 , Train Loss: 0.0242, Train Accuracy: 94.78, Validation Loss: 2.5810, Validation Accuracy: 48.27%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.8-3 , Train Loss: 0.0565, Train Accuracy: 94.91, Validation Loss: 2.8721, Validation Accuracy: 44.50%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.9-3 , Train Loss: 0.0894, Train Accuracy: 96.81, Validation Loss: 3.9291, Validation Accuracy: 36.36%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.95-3 , Train Loss: 0.1077, Train Accuracy: 96.27, Validation Loss: 4.1484, Validation Accuracy: 28.17%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.3-3 , Train Loss: 0.0106, Train Accuracy: 96.50, Validation Loss: 1.1476, Validation Accuracy: 72.28%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.5-3 , Train Loss: 0.0249, Train Accuracy: 96.81, Validation Loss: 1.5080, Validation Accuracy: 65.42%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.7-3 , Train Loss: 0.0179, Train Accuracy: 97.34, Validation Loss: 2.1831, Validation Accuracy: 56.38%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.8-3 , Train Loss: 0.0267, Train Accuracy: 97.47, Validation Loss: 2.8595, Validation Accuracy: 48.70%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.9-3 , Train Loss: 0.0662, Train Accuracy: 97.86, Validation Loss: 4.3860, Validation Accuracy: 34.46%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.95-3 , Train Loss: 0.0743, Train Accuracy: 97.20, Validation Loss: 5.3289, Validation Accuracy: 29.37%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.3-3 , Train Loss: 0.0113, Train Accuracy: 95.98, Validation Loss: 1.1623, Validation Accuracy: 72.33%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.5-3 , Train Loss: 0.0299, Train Accuracy: 96.03, Validation Loss: 1.4097, Validation Accuracy: 69.03%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.7-3 , Train Loss: 0.0214, Train Accuracy: 95.34, Validation Loss: 1.9880, Validation Accuracy: 59.40%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.8-3 , Train Loss: 0.0456, Train Accuracy: 95.97, Validation Loss: 2.0251, Validation Accuracy: 58.94%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.9-3 , Train Loss: 0.1164, Train Accuracy: 95.99, Validation Loss: 2.5909, Validation Accuracy: 49.72%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_label-0.95-3 , Train Loss: 0.0999, Train Accuracy: 96.67, Validation Loss: 3.0933, Validation Accuracy: 40.98%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.3-3 , Train Loss: 0.0118, Train Accuracy: 96.07, Validation Loss: 1.1987, Validation Accuracy: 71.67%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.5-3 , Train Loss: 0.0296, Train Accuracy: 96.44, Validation Loss: 1.3751, Validation Accuracy: 68.46%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.7-3 , Train Loss: 0.0163, Train Accuracy: 96.15, Validation Loss: 1.6250, Validation Accuracy: 63.34%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.8-3 , Train Loss: 0.0454, Train Accuracy: 96.27, Validation Loss: 2.1108, Validation Accuracy: 56.61%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.9-3 , Train Loss: 0.0687, Train Accuracy: 97.78, Validation Loss: 2.7653, Validation Accuracy: 47.82%
MODEL:resnet18-CIFAR10-EVIDENCE-median-0.95-3 , Train Loss: 0.1016, Train Accuracy: 96.35, Validation Loss: 3.0750, Validation Accuracy: 41.44%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.3-3 , Train Loss: 0.0120, Train Accuracy: 95.84, Validation Loss: 1.2172, Validation Accuracy: 71.17%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.5-3 , Train Loss: 0.0305, Train Accuracy: 95.79, Validation Loss: 1.3372, Validation Accuracy: 69.59%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.7-3 , Train Loss: 0.0269, Train Accuracy: 95.67, Validation Loss: 1.8152, Validation Accuracy: 59.64%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.8-3 , Train Loss: 0.0455, Train Accuracy: 96.02, Validation Loss: 1.9838, Validation Accuracy: 58.87%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.9-3 , Train Loss: 0.0850, Train Accuracy: 97.12, Validation Loss: 2.4168, Validation Accuracy: 53.07%
MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.95-3 , Train Loss: 0.1232, Train Accuracy: 95.15, Validation Loss: 2.8888, Validation Accuracy: 43.08%
